idno,cntry,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,anctry1,anctry2
67278,ME,2.0,2.0,2.0,0.2999999999999998,8.0,6.0,Bosniak/Bosnian,No second ancestry* 
67349,ME,3.0,3.0,4.0,1.5,6.0,6.0,Montenegrin nfs,No second ancestry* 
67387,ME,3.0,3.0,3.0,1.7999999999999998,6.0,5.0,Bosniak/Bosnian,Don't know*
67435,ME,2.0,2.0,2.0,0.5999999999999996,7.0,5.0,Albanian nfs,No second ancestry* 
67456,ME,1.0,1.0,1.0,0.0,10.0,9.0,Serbian nfs,Montenegrin nfs
67478,ME,2.0,2.0,2.0,1.5,5.0,7.0,Serbian nfs,No second ancestry* 
67491,ME,4.0,4.0,4.0,3.0,5.0,0.0,Montenegrin nfs,No second ancestry* 
67520,ME,1.0,1.0,3.0,2.1,5.0,4.0,Ashkali/Balkan Egyptian,Montenegrin nfs
67536,ME,1.0,1.0,1.0,1.5,4.0,6.0,Montenegrin nfs,No second ancestry* 
67563,ME,4.0,4.0,4.0,3.0,0.0,0.0,Serbian nfs,No second ancestry* 
67580,ME,3.0,3.0,3.0,3.0,5.0,0.0,Montenegrin nfs,No second ancestry* 
67581,ME,1.0,3.0,3.0,1.5,6.0,5.0,Montenegrin nfs,No second ancestry* 
67584,ME,2.0,3.0,3.0,2.4,3.0,2.0,Montenegrin nfs,No second ancestry* 
67598,ME,1.0,1.0,3.0,3.0,5.0,5.0,Montenegrin nfs,No second ancestry* 
67604,ME,3.0,3.0,3.0,1.7999999999999998,4.0,6.0,Bosniak/Bosnian,No second ancestry* 
67677,ME,2.0,3.0,2.0,3.0,3.0,0.0,Montenegrin nfs,No second ancestry* 
67695,ME,4.0,4.0,4.0,2.7,0.0,0.0,Serbian nfs,No second ancestry* 
67710,ME,2.0,2.0,2.0,1.5,8.0,5.0,Not classifiable,No second ancestry* 
67712,ME,2.0,2.0,2.0,0.9000000000000004,6.0,6.0,Montenegrin nfs,No second ancestry* 
67717,ME,2.0,2.0,2.0,2.1,2.0,3.0,Montenegrin nfs,No second ancestry* 
67721,ME,2.0,2.0,2.0,1.5,5.0,6.0,Muslim nfs,No second ancestry* 
67753,ME,1.0,1.0,1.0,0.0,5.0,2.0,Muslim nfs,Montenegrin nfs
67763,ME,3.0,3.0,3.0,1.5,5.0,5.0,Montenegrin nfs,No second ancestry* 
67791,ME,3.0,3.0,3.0,1.7999999999999998,5.0,5.0,Montenegrin nfs,No second ancestry* 
67803,ME,1.0,1.0,1.0,1.2000000000000002,6.0,5.0,Bosniak/Bosnian,No second ancestry* 
67809,ME,1.0,1.0,1.0,1.5,10.0,5.0,Montenegrin nfs,No second ancestry* 
67814,ME,2.0,3.0,2.0,1.2000000000000002,6.0,5.0,Bosniak/Bosnian,No second ancestry* 
67840,ME,2.0,3.0,4.0,2.4,6.0,0.0,Serbian nfs,Montenegrin nfs
67846,ME,2.0,2.0,2.0,1.2000000000000002,5.0,5.0,Montenegrin nfs,No second ancestry* 
67860,ME,2.0,2.0,2.0,2.4,7.0,5.0,Serbian nfs,Montenegrin nfs
67874,ME,1.0,1.0,1.0,0.0,10.0,10.0,Montenegrin nfs,No second ancestry* 
67885,ME,2.0,2.0,2.0,1.7999999999999998,5.0,4.0,Serbian nfs,No second ancestry* 
67936,ME,2.0,2.0,2.0,0.9000000000000004,10.0,8.0,Albanian nfs,No second ancestry* 
67963,ME,4.0,3.0,2.0,1.5,4.0,3.0,Muslim nfs,No second ancestry* 
67966,ME,4.0,4.0,4.0,3.0,0.0,0.0,Serbian nfs,No second ancestry* 
67997,ME,4.0,4.0,3.0,3.0,2.0,2.0,Serbian nfs,No second ancestry* 
68040,ME,4.0,4.0,4.0,3.0,0.0,0.0,Montenegrin nfs,No second ancestry* 
68049,ME,2.0,2.0,2.0,1.2000000000000002,7.0,6.0,Bosniak/Bosnian,No second ancestry* 
68069,ME,2.0,3.0,3.0,1.7999999999999998,4.0,3.0,Montenegrin nfs,No second ancestry* 
68084,ME,2.0,2.0,3.0,1.2000000000000002,5.0,5.0,Montenegrin nfs,No second ancestry* 
68122,ME,3.0,3.0,3.0,1.2000000000000002,5.0,5.0,Serbian nfs,No second ancestry* 
68145,ME,4.0,4.0,4.0,3.0,1.0,1.0,Montenegrin nfs,No second ancestry* 
68166,ME,2.0,2.0,2.0,2.4,3.0,4.0,Montenegrin nfs,No second ancestry* 
68167,ME,3.0,3.0,3.0,2.1,10.0,6.0,Montenegrin nfs,Bosniak/Bosnian
68174,ME,3.0,3.0,3.0,0.0,10.0,10.0,Montenegrin nfs,No second ancestry* 
68265,ME,2.0,1.0,2.0,1.2000000000000002,4.0,7.0,Serbian nfs,No second ancestry* 
68293,ME,2.0,2.0,2.0,2.1,7.0,7.0,Albanian nfs,No second ancestry* 
68327,ME,3.0,3.0,3.0,2.1,0.0,0.0,Serbian nfs,No second ancestry* 
68338,ME,2.0,2.0,3.0,2.4,2.0,2.0,Montenegrin nfs,No second ancestry* 
